complaint,department
The city bus tracking app is showing completely wrong timings and live locations for all routes. It's getting worse day by day.,Public Transport
"Our entire locality is suffering. Chemical smoke coming from a small factory inside the residential zone, making it hard to breathe.",Other
I want to report that Huge pile of waste collecting near the central bus stop. Dogs and cows are scattering it everywhere.,Garbage Collection
Municipal sweepers have not cleared teh roadside debris for over a fortnight now. Needs fix by the main vegetable market.,Garbage Collection
"The entire lane near the railway station is pitch black, which is highly unsafe for women traveling late.",Street Lighting
"Our entire locality is suffering. The gardener is never present, and the park has turned into a dumping ground for nearby vendors. We pay our taxes regularly for this?",Parks & Gardens
"The ladies' special bus route has been stopped without any prior notice, causing major inconvenience.",Public Transport
Our entire locality is suffering. Rainwater is not draining away because the storm water drains are full of silt and mud. It has been happening for a long time.,Sewage & Drainage
Reminder for the authority: Frequent load shedding every single day during children's exam preparation time. This is unfair. Please update on the status of this complaint.,Electricity
"The road outside the hospital is completely broken, making it extremely dangerous for ambulances. This is happening behind the government office.",Roads & Potholes
An emergency situation has arisen. No toilet facilities or drinking water available for visitors inside the massive regional park. It's getting worse day by day.,Parks & Gardens
"Dear authorities, please fix this. Illegal construction work going on without building permission behind Green Valley Apartments.",Other
The sewage line is choked and dirty water is overflowing onto the street outside the vegetable market. Please update on the status of this complaint.,Sewage & Drainage
"The local market area lacks proper CCTV surveillance, leading to multiple pickpocketing incidents. This is happening near the metro station gate.",Other
This is a recurring problem. watar supply cut off without any prior notice in Sunrise Housing Society. Please fix asap. Looking forward to a speedy resolution.,Water Supply
Frequent load shedding every single day during children's exam preparation time. This is unfair. It is worse with the upcoming festival season.,Electricity
"An abandoned old car has been parking on our street for the last two years, accumulating dirt. This is happening by the sector 4 intersection.",Other
Rainwater is not draining away because the storm water drains are full of silt and mud.,Sewage & Drainage
Why is nothing being done about this? People are dumping trash right outside the community hospital gate. It is a massive health hazard. Looking forward to a speedy resolution.,Garbage Collection
We are getting water for only 10 minutes in the morning. How are we supposed to survive in this heat? This is completely unacceptable.,Water Supply
The local city bus completely skipped the central bus stop thrice this morning during rush hour. Please take immediate action.,Public Transport
The bus conductors are routinely refusing to issue tickets to students and senior citizens. Needs fix along the commercial market lane.,Public Transport
"Highly frustrated with the current state. Buses are running extremely late, I had to wait for more than an hour to go to the hospital.",Public Transport
No technician has arrived to fix the underground cable fault near the railway station area. The concerned department must check this today.,Electricity
Monkeys are entering houses and creating a huge menace for residents in Sunrise Housing Society. Needs fix on the national highway near the toll booth.,Other
The entire street is littered with plastic bags after the weekend festival celebration. This is happening at the central bus stop.,Garbage Collection
loud speaker noise during festival is crossing all permissible decibel limits near school zone. This is happening in the residential block C.,Other
Why is nothing being done about this? There is a huge infestation of mosquitoes and rodents in our locality due to a neglected vacant plot.,Other
Unannounced power outage since 10 AM in Sunrise Housing Society. When will power be restored? Hoping for a quick response.,Electricity
Writing this out of absolute desperation. Power cut during the night time is making it impossible to sleep in this extreme summer heat. It has been happening for a long time.,Electricity
Urgent attention needed. The local city bus completely skipped the central bus stop thrice this morning during rush hour.,Public Transport
"The commercial market area is flooded with smelly sewer water, customers cannot enter shops.",Sewage & Drainage
"Complaining on behalf of all residents. elecricity bill not delivered on time, and now they are charging a heavy late fee penalty. Please take immediate action.",Electricity
The blinking yellow cautionary light is not working during late night hours at the dangerous curve. We pay our taxes regularly for this?,Traffic Signals
The road has completely caved in near the metro station due to the recent drainage work. Looking forward to a speedy resolution.,Roads & Potholes
Urgent attention needed. No door-to-door trash collection in our village for the past one week. Where should we throw our waste? This is completely unacceptable.,Garbage Collection
"dear authorities, please fix this. smell of rotten food coming from the illegal dumping site behind green valley apartments. this needs to be fixed before an accident happens.",Garbage Collection
rotting garbage piles near the vegetable market are attracting flies and mosquitoes during this rainy season. please take immediate action.,Garbage Collection
The air conditioning in the premium city buses is completely broken and blowing hot air in this summer. This is happening along the commercial market lane.,Public Transport
please take strict action. no water supply since yesterday morning. it's tough to manage daily chores. please update on the status of this complaint.,Water Supply
There is a huge infestation of mosquitoes nd rodents in our locality due to a neglected vacant plot. Needs fix right outside the railway station.,Other
"Dear authorities, please fix this. People are dumping trash right outside the community hospital gate. It is a massive health hazard.",Garbage Collection
The power company workers left the high-voltage junction box completely unlocked and open to kids. This is happening outside teh nursing home.,Electricity
We need regular trimming of the large tree branches overhanging the pathway inside the park. It is worse especially at night time.,Parks & Gardens
Reminder for the authority: The seats inside the public transport buses are torn and filthy. No maintenance at all.,Public Transport
Huge pile of waste collecting near the central bus stop. Needs fix at the central bus stop.,Garbage Collection
Our entire locality is suffering. gargabe truck driver driving very recklessly inside the residential complex lines. Please take immediate action.,Garbage Collection
Public dustbins are completely broken and missing near the railway station area.,Garbage Collection
Mosquito breeding ground created due to stagnant drain water behind Green Valley Apartments. It is worse in this scorching heat.,Sewage & Drainage
I want to report that The traffic light pole has bent dangerously after a truck crashed into it last night near the bus stop. No one is listening to our requests.,Traffic Signals
a manhole cover is completely missing on the main road near the railway station. highly dangerous! it's getting worse day by day.,Sewage & Drainage
"Dear authorities, please fix this. The light fixture is broken and hanging dangerously from the pole near the metro station exit.",Street Lighting
"Reckless driving by the municipal bus driver near St. Mary's School, almost hit a cyclist today. The concerned department must check this today.",Public Transport
Please resolve this as soon as possible. No technician has arrived to fix the underground cable fault near the railway station area. We pay our taxes regularly for this?,Electricity
"Highly frustrated with the current state. New LED lights installed are very dim, they do not illuminate the road properly at all.",Street Lighting
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. This is happening near the local children's park.,Sewage & Drainage
"Very low pressure in the water lines near St. Mary's School, cannot fill our overhead tanks. It is worse early in the morning.",Water Supply
Street lights remain turned ON during the entire afternoon. This is a huge waste of electricity. It is worse early in the morning.,Street Lighting
Someone dumped electronic waste and old furniture right on the pavement near the market. Needs fix outside the community hospital.,Garbage Collection
"No traffic police or functional signals near the community hospital, causing ambulance delays.",Traffic Signals
Open drain near St. Mary's School is a death trap for young kids. Please cover it immediately. It is worse over the weekend.,Sewage & Drainage
Please resolve this as soon as possible. stret lights not working since last monday near the local market zone.,Street Lighting
"streetlights are blinking continuously near the community hospital, causing visibility issues for drivers. needs fix near st. mary's school.",Street Lighting
