complaint,department,severity
"The public garden near the metro station lacks proper fencing, stray cattle keep entering and damaging plants.",Parks & Gardens,Low
"Sir, the road near in Rampur village is in very bad condition, several accidents have happened here.",Roads & Potholes,High
"Unauthorized hoardings Lakeview Apartments are blocking the view at a busy junction, causing safety issues.",Other,High
The water supply timing has changed suddenly and nobody informed the residents near the railway station.,Water Supply,Medium
We are getting muddy and smelly water in our taps on the service road.,Water Supply,High
We need an additional bus route connecting Shanti Nagar to the industrial area for workers.,Public Transport,Medium
why is water supply cut every single day MG Road without any notice given to us,Water Supply,Medium
"The traffic signal in the slum area behind our society has not been working since early morning today, causing massive jams.",Traffic Signals,Medium
"Sewage water is mixing with the rainwater drain near Lotus Apartments, creating unhygienic conditions.",Sewage & Drainage,High
There have been three accidents this month at the junction Rajpuri village due to the faulty signal.,Traffic Signals,High
"Flies and mosquitoes are breeding in the garbage heap behind the community hall, we fear disease outbreak.",Garbage Collection,High
"Medical waste from a nearby clinic is being dumped with regular garbage near the church junction, very unsafe.",Garbage Collection,High
We request a permanent solution for garbage disposal in front of Ambedkar Park instead of irregular pickups.,Garbage Collection,Medium
"The public garden in front of our apartment building lacks proper fencing, stray cattle keep entering and damaging plants.",Parks & Gardens,Low
"There is no traffic signal at the busy junction on the flyover near Sector 9, accidents happen almost every week.",Traffic Signals,Critical
"The bus conductor close to the college gate misbehaved with an elderly passenger, this is unacceptable.",Public Transport,Medium
"The jogging track lights in Nehru Colony are not working, making evening exercise unsafe.",Parks & Gardens,High
"Construction debris has been left on the road at the railway crossing for weeks, blocking half the lane.",Roads & Potholes,Medium
Drivers routinely jump the red light outside City Hospital because there is no camera or officer present.,Traffic Signals,High
Commuters at in Kalyan Nagar have been complaining about rash driving by local bus drivers.,Public Transport,High
"Contaminated water is coming from the municipal pipeline Lakeview Apartments, several people fell sick.",Water Supply,High
"The ticket counter at near the panchayat office station remains closed most mornings, causing long queues.",Public Transport,Medium
"The signal timing near St. Mary's convent school is too short, pedestrians cannot cross in time.",Traffic Signals,High
"The pedestrian crossing signal outside the mosque does not work, it's very risky for elderly people.",Traffic Signals,Medium
The dumping ground near near the metro station is overflowing and residents are complaining of the stench.,Garbage Collection,High
"The railway station near the metro station lacks proper announcements, passengers keep missing their trains.",Public Transport,Medium
"sewage overflow near in the industrial area is a health hazard, kids are getting skin infections",Sewage & Drainage,High
"There is no power backup at the hospital in Old Town market during outages, this endangers patients.",Electricity,High
Traffic signal malfunction near the government hospital led to a minor collision between two cars yesterday.,Traffic Signals,High
"The railway crossing gate near on the flyover near Sector 9 stays closed for unusually long periods, delaying commuters.",Public Transport,Medium
"The platform at near the temple station has no shelter, passengers get drenched during rains.",Public Transport,Medium
The park Rajpuri village has become a dumping ground for construction debris from nearby buildings.,Parks & Gardens,Low
"Construction waste has been dumped illegally near the temple, blocking half the road.",Garbage Collection,Medium
"There is no proper drainage system MG Road, every monsoon the lane gets waterlogged badly.",Sewage & Drainage,Medium
"Gardeners have not visited the park close to the college gate in months, hedges are overgrown and unkempt.",Parks & Gardens,Low
Repeated patchwork on the road Lakeview Apartments keeps washing away within days of every rain.,Roads & Potholes,Medium
"The signal timing at the railway crossing is too short, pedestrians cannot cross in time.",Traffic Signals,Medium
The underground cable near MG Road was damaged during road digging and power has been out since.,Electricity,Medium
The lighting at the bus stop outside City Hospital has failed and commuters wait in complete darkness.,Street Lighting,High
During Ganesh festival the water tanker skipped our lane Sector 12 for three days straight.,Water Supply,Medium
"The garbage collector demands extra money for pickup in front of our apartment building, otherwise he skips our house.",Garbage Collection,Medium
Please install proper benches and lighting in the community garden near Lotus Apartments.,Parks & Gardens,Low
"After the pipeline repair work near the temple, air is coming through the tap instead of water.",Water Supply,Medium
We request a dedicated bus lane near in front of the primary health centre to reduce delays during office hours.,Public Transport,Medium
During the festival rush the road in front of the primary health centre got jammed because of the broken surface.,Roads & Potholes,Medium
"pls take action on the illegal liquor shop operating near near the temple, its disturbing the area",Other,Medium
The road outside the railway station near the temple is uneven and full of loose bricks.,Roads & Potholes,Medium
why is water supply cut every single day in the industrial area without any notice given to us,Water Supply,Medium
"Kids' play area near Gandhi Chowk has broken slides with sharp edges, very dangerous for children.",Parks & Gardens,High
"pls do something, garbage smell is entering our house near on Ring Road its disgusting",Garbage Collection,Medium
The last bus from near the government hospital was cancelled without any prior notice to commuters.,Public Transport,High
Frequent breakdowns of the local buses near in Kalyan Nagar are causing huge delays for commuters.,Public Transport,Medium
"There are no streetlights or road markings on the newly built road near Lotus Apartments, very risky at night.",Roads & Potholes,Medium
Sudden power cuts during the exam period in Kalyan Nagar are badly affecting students studying at night.,Electricity,Medium
"An auto rickshaw overturned yesterday due to the massive pothole near St. Mary's convent school, someone was injured.",Roads & Potholes,High
"There is no watchman at the park in front of Ambedkar Park anymore, and anti-social elements gather there.",Parks & Gardens,Low
"During the heatwave, power cuts behind the fish market have increased to almost 6 hours a day.",Electricity,High
"road is completely broken Shanti Nagar, cant even ride a scooty properly",Roads & Potholes,Medium
The feeder bus service to the metro station close to the college gate has been discontinued without explanation.,Public Transport,Medium
"There is no power backup at the hospital Lakeview Apartments during outages, this endangers patients.",Electricity,High
The footpath in Phase 2 of Divine Enclave society is broken and pedestrians are forced to walk on the busy road.,Roads & Potholes,High
"We need a signal at the intersection near behind the community hall, it is extremely dangerous during school hours.",Traffic Signals,High
The new apartment block in the slum area behind our society still has no official water connection even after six months.,Water Supply,Medium
Stray dogs Green Valley Society have become aggressive and have bitten two children this month.,Other,Medium
Vandals broke the streetlight covers on the service road and now there is no lighting at all in that stretch.,Street Lighting,Medium
the park near in Rampur village is full of garbage and drunkards hang around there at night,Parks & Gardens,Medium
The open gym equipment in front of our apartment building is rusted and some machines are completely non-functional.,Parks & Gardens,Low
The garbage collection vehicle skips our lane near Gandhi Chowk even though we pay municipal tax.,Garbage Collection,Medium
The substation near near the government hospital trips almost every evening during peak usage hours.,Electricity,High
"The traffic signal near Sunrise Public School has not been working , causing massive jams.",Traffic Signals,High
The garden close to the college gate used to be well maintained but now it is full of dry patches and litter.,Parks & Gardens,Low
Illegal dumping of construction material has blocked the pedestrian path in front of Ambedkar Park for weeks.,Other,Medium
Water logging on the road at the bus stop on Church Street hides the potholes underneath and vehicles keep getting stuck.,Roads & Potholes,Medium
Encroachment near the park boundary in the slum area behind our society has reduced the play area for children.,Parks & Gardens,High
"Rainwater mixed with garbage outside the mosque has created a filthy, smelly puddle on the street.",Garbage Collection,Medium
"Overloaded shared autos near Shanti Nagar are extremely unsafe, especially for women travelling alone.",Public Transport,High
"The electric pole wires in the industrial area are tangled with tree branches, risk of short circuit is high.",Electricity,Medium
"Sir, we r senior citizens on the service road and carrying water from far is very hard for us.",Water Supply,Medium
Please install proper benches and lighting in the community garden Green Valley Society.,Parks & Gardens,Low
Unregulated firecracker stalls near near Lotus Apartments pose a serious fire risk during the festival season.,Other,Medium
"During the wedding season, frequent power cuts Rajpuri village are ruining events for many families.",Electricity,Medium
"road is completely broken MG Road, cant even ride a scooty properly",Roads & Potholes,Medium
The service road next to the highway near St. Mary's convent school has huge cracks running across it.,Roads & Potholes,High
"The road leading to the hospital in Phase 2 of Divine Enclave society is full of potholes, ambulances struggle to pass.",Roads & Potholes,High
The signal pole in front of our apartment building was damaged in an accident and hasn't been repaired since.,Traffic Signals,High
